Event.Id,Event.Date,Make,Model,Make_Model,Aircraft.Category,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Purpose.of.flight,Aircraft.damage
20001212X22492,1990-01-28,TAYLORCRAFT,BC12D,TAYLORCRAFT BC12D,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Takeoff,Personal,Destroyed
20001212X22480,1990-01-29,CESSNA,208B,CESSNA 208B,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Takeoff,Unknown,Destroyed
20001212X22619,1990-02-01,PIPER,PA-28-181,PIPER PA-28-181,Airplane,Fatal(1),1.0,0.0,0.0,0.0,VMC,Maneuvering,Personal,Destroyed
20001212X22649,1990-03-16,CESSNA,170B,CESSNA 170B,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Takeoff,Personal,Substantial
20001212X22846,1990-04-09,CESSNA,172,CESSNA 172,Airplane,Fatal(2),2.0,0.0,0.0,7.0,VMC,Cruise,Unknown,Destroyed
20001212X22846,1990-04-09,EMBRAER,EMB-120,EMBRAER EMB-120,Airplane,Fatal(2),2.0,0.0,0.0,7.0,VMC,Cruise,Unknown,Substantial
20001212X22966,1990-04-16,EMBRAER,EMB-110,EMBRAER EMB-110,Airplane,Non-Fatal,0.0,0.0,0.0,8.0,VMC,Taxi,Unknown,Substantial
20001212X22992,1990-04-17,CESSNA,150,CESSNA 150,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Approach,Instructional,Substantial
20001212X22890,1990-04-30,BEECH,C99 AIRLINER,BEECH C99 AIRLINER,Airplane,Fatal(1),1.0,3.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001212X23574,1990-07-05,PIPER,PA-28-180,PIPER PA-28-180,Airplane,Fatal(1),1.0,1.0,0.0,0.0,VMC,Descent,Business,Destroyed
20001212X23773,1990-07-12,PIPER,PA-28-140,PIPER PA-28-140,Airplane,Non-Fatal,0.0,0.0,2.0,0.0,VMC,Descent,Personal,Substantial
20001212X23667,1990-07-27,MCDONNELL DOUGLAS,DC-10-30,MCDONNELL DOUGLAS DC-10-30,Airplane,Non-Fatal,0.0,1.0,3.0,3.0,UNKNOWN,,Unknown,
20001212X24345,1990-09-14,CESSNA,152,CESSNA 152,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Takeoff,Personal,Destroyed
20001212X24349,1990-09-23,PIPER,PA-24-260,PIPER PA-24-260,Airplane,Fatal(4),4.0,0.0,0.0,0.0,VMC,Takeoff,Personal,Destroyed
20001212X24393,1990-10-06,CESSNA,185B,CESSNA 185B,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Landing,Unknown,Substantial
20001212X24604,1990-11-07,PIPER,PA-23-250,PIPER PA-23-250,Airplane,Non-Fatal,0.0,0.0,0.0,3.0,IMC,Climb,Personal,Substantial
20001212X24613,1990-11-23,BEECH,B55,BEECH B55,Airplane,Fatal(1),1.0,0.0,0.0,0.0,VMC,Maneuvering,Personal,Destroyed
20001212X24824,1990-12-15,BEECH,D50C,BEECH D50C,Airplane,Fatal(1),1.0,0.0,1.0,4.0,VMC,Cruise,Skydiving,Substantial
20001212X24816,1990-12-31,CESSNA,182B,CESSNA 182B,Airplane,Fatal(2),2.0,1.0,1.0,0.0,VMC,Takeoff,Skydiving,Substantial
20001212X16387,1991-01-25,PIPER,PA-34,PIPER PA-34,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,UNKNOWN,Landing,Public Aircraft,Substantial
20001212X16418,1991-02-03,CESSNA,182,CESSNA 182,Airplane,Fatal(7),7.0,0.0,0.0,0.0,VMC,Climb,Skydiving,Destroyed
20001212X16418,1991-02-03,PIPER,PA-28-140,PIPER PA-28-140,Airplane,Fatal(7),7.0,0.0,0.0,0.0,VMC,Approach,Instructional,Destroyed
20001212X16415,1991-02-24,CESSNA,172N,CESSNA 172N,Airplane,Fatal(1),1.0,0.0,0.0,0.0,IMC,Maneuvering,Personal,Destroyed
20001212X16539,1991-03-18,PIPER,PA-28-201T,PIPER PA-28-201T,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Cruise,Business,Destroyed
20001212X17360,1991-06-06,BOEING,727-214,BOEING 727-214,Airplane,Incident,0.0,0.0,0.0,156.0,VMC,Takeoff,Unknown,Minor
20001212X17597,1991-07-11,CESSNA,182,CESSNA 182,Airplane,Fatal(1),1.0,0.0,0.0,4.0,VMC,Cruise,Skydiving,Substantial
20001212X17738,1991-08-07,BELLANCA,7GCBC,BELLANCA 7GCBC,Airplane,Non-Fatal,0.0,0.0,1.0,1.0,VMC,Maneuvering,Personal,Substantial
20001212X17742,1991-08-09,PIPER,PA-18,PIPER PA-18,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Takeoff,Personal,Substantial
20001212X18014,1991-09-19,PIPER,PA-18-150,PIPER PA-18-150,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Takeoff,Unknown,Substantial
20001212X18289,1991-10-27,BEECH,A36,BEECH A36,Airplane,Fatal(2),2.0,0.0,0.0,0.0,VMC,Maneuvering,Personal,Destroyed
20001212X18454,1991-11-29,CESSNA,120,CESSNA 120,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Landing,Personal,Substantial
20001212X18577,1991-12-12,BOEING,B-747-121,BOEING B-747-121,Airplane,Incident,0.0,0.0,0.0,0.0,VMC,,Unknown,Minor
20001212X18531,1991-12-13,PIPER,"PA-31T3, T1040","PIPER PA-31T3, T1040",Airplane,Fatal(1),1.0,0.0,0.0,0.0,IMC,Cruise,Unknown,Destroyed
20001212X18613,1991-12-20,BEECH,58P,BEECH 58P,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Approach,Business,Destroyed
20001211X14468,1992-04-22,DE HAVILLAND,DHC-6-200,DE HAVILLAND DHC-6-200,Airplane,Fatal(16),16.0,6.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20170710X10920,1992-09-05,ROBINSON,R22,ROBINSON R22,Helicopter,Fatal(1),1.0,1.0,0.0,0.0,VMC,Unknown,Personal,Destroyed
20001211X15678,1992-09-07,BEECH,C-45H,BEECH C-45H,Airplane,Fatal(12),12.0,0.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20001211X16223,1992-12-13,CESSNA,T210,CESSNA T210,Airplane,Non-Fatal,0.0,0.0,1.0,0.0,VMC,Approach,Personal,Substantial
20001211X16199,1992-12-29,PIPER,PA-34-200,PIPER PA-34-200,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,,Personal,Substantial
20001211X12054,1993-04-23,PIPER,PA-18-150,PIPER PA-18-150,Airplane,Fatal(2),2.0,0.0,0.0,0.0,VMC,Maneuvering,Business,Destroyed
20001211X13214,1993-08-14,CESSNA,182A,CESSNA 182A,Airplane,Fatal(1),1.0,4.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20001211X13180,1993-08-18,PIPER,PA-34-220,PIPER PA-34-220,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Cruise,Ferry,Destroyed
20001211X13402,1993-09-04,BEECH,C-45H,BEECH C-45H,Airplane,Fatal(1),1.0,0.0,0.0,10.0,VMC,Cruise,Skydiving,Minor
20001211X13354,1993-09-25,CESSNA,172,CESSNA 172,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Takeoff,Aerial Observation,Substantial
20001211X13771,1993-11-13,PIPER,PA-32R-300,PIPER PA-32R-300,Airplane,Non-Fatal,0.0,1.0,3.0,1.0,VMC,,Personal,Substantial
20001211X13695,1993-11-28,PIPER,PA32R-301,PIPER PA32R-301,Airplane,Fatal(1),1.0,0.0,0.0,0.0,IMC,Approach,Personal,Destroyed
20001211X13814,1993-12-12,PIPER,PA-32,PIPER PA-32,Airplane,Non-Fatal,0.0,0.0,0.0,5.0,VMC,Landing,Unknown,Substantial
20001206X00618,1994-01-02,CESSNA,172N,CESSNA 172N,Airplane,Fatal(5),5.0,0.0,0.0,0.0,VMC,Approach,Instructional,Destroyed
20001206X00742,1994-02-22,BEECH,2000 (STARSHIP),BEECH 2000 (STARSHIP),Airplane,Non-Fatal,0.0,0.0,0.0,6.0,UNKNOWN,,Business,Substantial
20001206X01822,1994-07-16,CESSNA,K172R,CESSNA K172R,Airplane,Fatal(4),4.0,0.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20001206X02071,1994-08-09,AEROSPATIALE,SA316B,AEROSPATIALE SA316B,Helicopter,Non-Fatal,0.0,0.0,3.0,0.0,VMC,Landing,Positioning,Substantial
20001206X02019,1994-08-25,CESSNA,150,CESSNA 150,Airplane,Non-Fatal,0.0,0.0,1.0,0.0,VMC,Cruise,Personal,Substantial
20001206X01926,1994-08-31,CESSNA,208,CESSNA 208,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Landing,Unknown,Substantial
20001206X02310,1994-09-14,PIPER,PA-28-140,PIPER PA-28-140,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,,Personal,Substantial
20001206X02325,1994-09-20,PIPER,PA32R-301T,PIPER PA32R-301T,Airplane,Non-Fatal,0.0,0.0,0.0,6.0,VMC,,Personal,Substantial
20001206X02234,1994-09-23,AERO COMMANDER,500S,AERO COMMANDER 500S,Airplane,Fatal(2),2.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001206X02607,1994-11-01,BELL,212,BELL 212,Helicopter,Fatal(14),14.0,0.0,0.0,0.0,IMC,,Unknown,Destroyed
20001206X02621,1994-11-18,PIPER,PA-32R-300,PIPER PA-32R-300,Airplane,Non-Fatal,0.0,0.0,0.0,4.0,VMC,,Personal,Substantial
20001206X02737,1994-12-27,PIPER,PA-28-140,PIPER PA-28-140,Airplane,Fatal(2),2.0,0.0,0.0,0.0,VMC,Go-around,Business,Destroyed
20001206X02711,1994-12-29,BOEING,737-400,BOEING 737-400,Airplane,Fatal(54),54.0,21.0,0.0,0.0,IMC,,Unknown,Destroyed
20001207X03199,1995-03-07,BELL,230,BELL 230,Helicopter,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Landing,Positioning,Substantial
20001207X03179,1995-03-11,PIPER,PA-28RT-201,PIPER PA-28RT-201,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Go-around,Personal,Substantial
20001207X03370,1995-04-24,CESSNA,185,CESSNA 185,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Landing,Personal,Substantial
20001207X03360,1995-04-26,CESSNA,550,CESSNA 550,Airplane,Non-Fatal,0.0,0.0,5.0,0.0,VMC,,Personal,Destroyed
20001207X03480,1995-05-06,CESSNA,550,CESSNA 550,Airplane,Non-Fatal,0.0,0.0,0.0,3.0,VMC,Takeoff,Public Aircraft,Substantial
20001207X03526,1995-05-19,BOEING,737-500,BOEING 737-500,Airplane,Incident,0.0,0.0,0.0,288.0,VMC,Taxi,Unknown,Minor
20001207X03526,1995-05-19,BOEING,767-383ER,BOEING 767-383ER,Airplane,Incident,0.0,0.0,0.0,288.0,VMC,Taxi,Unknown,Minor
20001207X03963,1995-07-23,DE HAVILLAND,DHC-6,DE HAVILLAND DHC-6,Airplane,Fatal(1),1.0,0.0,0.0,17.0,VMC,Cruise,Skydiving,
20001207X04439,1995-09-09,BELL,230,BELL 230,Helicopter,Non-Fatal,0.0,0.0,0.0,3.0,VMC,Cruise,Positioning,Substantial
20001207X04585,1995-09-10,BEECH,65,BEECH 65,Airplane,Fatal(12),12.0,0.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20001207X04563,1995-09-15,AYRES,AY-65,AYRES AY-65,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,,Instructional,Substantial
20001207X04527,1995-09-15,PIPER,PA-18-150,PIPER PA-18-150,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Cruise,Personal,Substantial
20001207X04862,1995-11-07,BOEING,B727-224,BOEING B727-224,Airplane,Incident,0.0,0.0,2.0,10.0,UNKNOWN,,Unknown,Minor
20001207X04990,1995-12-20,BOEING,B757,BOEING B757,Airplane,Fatal(160),160.0,4.0,0.0,0.0,VMC,,Unknown,Destroyed
20001208X05165,1996-01-29,BELL,47G-2A1,BELL 47G-2A1,Helicopter,Fatal(1),1.0,0.0,0.0,0.0,VMC,Takeoff,Aerial Observation,Destroyed
20001208X05308,1996-02-07,BEECH,1900D,BEECH 1900D,Airplane,Non-Fatal,0.0,0.0,2.0,14.0,IMC,Landing,Unknown,Substantial
20010304X00536,1996-02-24,CESSNA,337,CESSNA 337,Airplane,Fatal(4),4.0,0.0,0.0,0.0,VMC,,Other Work Use,Destroyed
20010304X00536,1996-02-24,CESSNA,337,CESSNA 337,Airplane,Fatal(4),4.0,0.0,0.0,0.0,VMC,,Other Work Use,Destroyed
20001208X05343,1996-03-13,CESSNA,185,CESSNA 185,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Landing,Unknown,Substantial
20001208X05582,1996-04-14,CESSNA,P206C,CESSNA P206C,Airplane,Fatal(1),1.0,2.0,0.0,1.0,VMC,Maneuvering,Skydiving,Destroyed
20001208X05646,1996-04-27,DE HAVILLAND,DHC-6,DE HAVILLAND DHC-6,Airplane,Fatal(1),1.0,0.0,0.0,4.0,VMC,Standing,Skydiving,
20001208X06203,1996-07-06,MCDONNELL DOUGLAS,MD-88,MCDONNELL DOUGLAS MD-88,Airplane,Fatal(2),2.0,2.0,3.0,137.0,VMC,Takeoff,Unknown,Substantial
20001208X06417,1996-08-07,GRUMMAN,G164,GRUMMAN G164,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Takeoff,Aerial Application,Destroyed
20001208X07016,1996-11-06,MCDONNELL DOUGLAS,MD-11,MCDONNELL DOUGLAS MD-11,Airplane,Incident,0.0,0.0,0.0,282.0,UNKNOWN,,Unknown,Minor
20001208X07017,1996-11-23,BOEING,767,BOEING 767,Airplane,Fatal(125),125.0,44.0,2.0,4.0,VMC,,Unknown,Destroyed
20001208X07151,1996-12-12,SIKORSKY,S-76B,SIKORSKY S-76B,Helicopter,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20010711X01386,1997-02-15,BOEING,737,BOEING 737,Airplane,Incident,0.0,0.0,0.0,63.0,UNKNOWN,,Unknown,
20001208X07614,1997-03-05,AEROSPATIALE,AS-355F,AEROSPATIALE AS-355F,Helicopter,Non-Fatal,0.0,0.0,1.0,0.0,VMC,Maneuvering,Positioning,Substantial
20001208X07517,1997-03-30,BELL,B212,BELL B212,Helicopter,Fatal(1),1.0,1.0,4.0,0.0,UNKNOWN,,Unknown,Destroyed
20001208X07696,1997-04-10,CESSNA,414,CESSNA 414,Airplane,Fatal(10),10.0,0.0,0.0,0.0,UNKNOWN,,Business,Destroyed
20001208X07660,1997-04-19,BEECH,C23,BEECH C23,Airplane,Fatal(1),1.0,0.0,0.0,0.0,VMC,Maneuvering,Unknown,Destroyed
20001208X07807,1997-04-27,PIPER,PA-60-601P,PIPER PA-60-601P,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Approach,Personal,Destroyed
20001208X07697,1997-04-27,MCDONNELL DOUGLAS,MD-82,MCDONNELL DOUGLAS MD-82,Airplane,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Substantial
20001208X07698,1997-04-30,CESSNA,208,CESSNA 208,Airplane,Fatal(2),2.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001208X07906,1997-05-04,BOEING,737-201,BOEING 737-201,Airplane,Non-Fatal,0.0,1.0,0.0,96.0,VMC,Standing,Unknown,
20001208X07895,1997-05-08,BOEING,737-300,BOEING 737-300,Airplane,Fatal(35),35.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001208X07896,1997-05-14,BOEING,747-400,BOEING 747-400,Airplane,Non-Fatal,0.0,0.0,0.0,573.0,VMC,,Unknown,Minor
20001208X07896,1997-05-14,BOEING,B777,BOEING B777,Airplane,Non-Fatal,0.0,0.0,0.0,573.0,VMC,,Unknown,Substantial
20001208X07972,1997-05-25,CESSNA,205,CESSNA 205,Airplane,Fatal(6),6.0,0.0,0.0,1.0,VMC,Maneuvering,Skydiving,Destroyed
20001208X08238,1997-06-01,CESSNA,TU-206G,CESSNA TU-206G,Airplane,Fatal(2),2.0,0.0,1.0,0.0,VMC,,Personal,Substantial
20001208X08067,1997-06-03,BOEING,767-300,BOEING 767-300,Airplane,Non-Fatal,0.0,1.0,0.0,122.0,UNKNOWN,,Unknown,
20001208X08047,1997-06-26,PIPER,PA-18,PIPER PA-18,Airplane,Non-Fatal,0.0,0.0,2.0,0.0,VMC,Takeoff,Instructional,Substantial
20001208X08313,1997-07-12,MCDONNELL DOUGLAS,DC-9-15,MCDONNELL DOUGLAS DC-9-15,Airplane,Incident,0.0,0.0,0.0,75.0,VMC,Approach,Unknown,
20001208X08714,1997-08-02,BOEING,757-200,BOEING 757-200,Airplane,Fatal(1),1.0,0.0,0.0,149.0,UNKNOWN,,Unknown,
20001208X08606,1997-08-06,BOEING,747-300,BOEING 747-300,Airplane,Fatal(228),228.0,26.0,0.0,0.0,IMC,Approach,Unknown,Destroyed
20001208X08682,1997-08-18,PIPER,PA-18-150,PIPER PA-18-150,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Landing,Instructional,Substantial
20001208X08700,1997-08-23,BEECH,95-B55,BEECH 95-B55,Airplane,Fatal(1),1.0,0.0,0.0,0.0,VMC,Cruise,Unknown,Destroyed
20001208X08921,1997-09-01,CESSNA,182C,CESSNA 182C,Airplane,Fatal(5),5.0,0.0,0.0,0.0,VMC,Climb,Skydiving,Destroyed
20001208X08828,1997-09-02,DE HAVILLAND,DHC-2,DE HAVILLAND DHC-2,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Minor
20001208X08838,1997-09-03,BEECH,V35B,BEECH V35B,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Cruise,Personal,Substantial
20001208X08865,1997-09-06,CESSNA,182E,CESSNA 182E,Airplane,Fatal(5),5.0,1.0,0.0,0.0,VMC,Takeoff,Skydiving,Destroyed
20001208X08803,1997-09-14,PIPER,PA-28-235,PIPER PA-28-235,Airplane,Fatal(2),2.0,0.0,0.0,0.0,IMC,Unknown,Personal,Destroyed
20001208X08986,1997-10-08,CESSNA,208B,CESSNA 208B,Airplane,Fatal(9),9.0,0.0,0.0,0.0,IMC,Climb,Unknown,Destroyed
20001208X08990,1997-10-09,BEECH,BE-200,BEECH BE-200,Airplane,Fatal(8),8.0,0.0,1.0,0.0,IMC,,Unknown,Destroyed
20001208X08992,1997-10-09,CESSNA,650-0220,CESSNA 650-0220,Airplane,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Substantial
20001208X08953,1997-10-20,PIPER,PA-25-235C,PIPER PA-25-235C,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Aerial Application,Destroyed
20001208X08991,1997-10-24,MCDONNELL DOUGLAS,MD-11,MCDONNELL DOUGLAS MD-11,Airplane,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Substantial
20001208X09175,1997-11-07,PIPER,PA-22-150,PIPER PA-22-150,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Takeoff,Personal,Substantial
20001208X09227,1997-11-08,DE HAVILLAND,DHC-6-6,DE HAVILLAND DHC-6-6,Airplane,Fatal(1),1.0,0.0,0.0,17.0,VMC,Standing,Skydiving,Minor
20001208X09164,1997-11-18,MCDONNELL DOUGLAS,DC-8F,MCDONNELL DOUGLAS DC-8F,Airplane,Non-Fatal,0.0,0.0,4.0,0.0,UNKNOWN,,Unknown,Substantial
20001208X09165,1997-11-23,MCDONNELL DOUGLAS,MD-83,MCDONNELL DOUGLAS MD-83,Airplane,Incident,0.0,0.0,0.0,138.0,UNKNOWN,,Unknown,
20001208X09296,1997-12-02,MCDONNELL DOUGLAS,MD83-2,MCDONNELL DOUGLAS MD83-2,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Minor
20001208X09353,1997-12-05,BOEING,707-320,BOEING 707-320,Airplane,Incident,0.0,0.0,0.0,3.0,VMC,,Positioning,
20001208X09295,1997-12-20,SIKORSKY,S-76B,SIKORSKY S-76B,Helicopter,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001211X09413,1998-01-09,BOEING,767-322ER,BOEING 767-322ER,Airplane,Non-Fatal,0.0,1.0,4.0,87.0,UNKNOWN,,Unknown,Minor
20001211X09533,1998-02-17,BOEING,757-200,BOEING 757-200,Airplane,Incident,0.0,0.0,0.0,2.0,UNKNOWN,,Unknown,Minor
20001211X09534,1998-02-25,BELL,212,BELL 212,Helicopter,Fatal(2),2.0,2.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001211X09657,1998-03-08,MCDONNELL DOUGLAS,DC-10-30,MCDONNELL DOUGLAS DC-10-30,Airplane,Incident,0.0,0.0,0.0,253.0,UNKNOWN,,Unknown,Minor
20001211X09652,1998-03-08,MCDONNELL DOUGLAS,DC8-73,MCDONNELL DOUGLAS DC8-73,Airplane,Incident,0.0,0.0,0.0,3.0,UNKNOWN,,Unknown,
20001211X09651,1998-03-10,BOEING,707-336,BOEING 707-336,Airplane,Fatal(6),6.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001211X09633,1998-03-21,CESSNA,U206G,CESSNA U206G,Airplane,Fatal(6),6.0,0.0,0.0,0.0,VMC,Cruise,Skydiving,Destroyed
20001211X09837,1998-04-04,BOEING,767-304,BOEING 767-304,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Minor
20001211X09838,1998-04-12,BOEING,737-200,BOEING 737-200,Airplane,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Substantial
20001211X09839,1998-04-26,CESSNA,210,CESSNA 210,Airplane,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001211X09836,1998-04-27,BOEING,737-500,BOEING 737-500,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Other Work Use,
20001211X10161,1998-05-21,NORTH AMERICAN,T-28B,NORTH AMERICAN T-28B,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,VMC,Landing,Positioning,Substantial
20001211X10046,1998-05-26,ROBINSON,R22 BETA,ROBINSON R22 BETA,Helicopter,Non-Fatal,0.0,0.0,0.0,2.0,UNKNOWN,,Unknown,
20001211X10045,1998-05-29,BOEING,B-737-500,BOEING B-737-500,Airplane,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Substantial
20001211X10290,1998-06-05,EUROCOPTER,AS350BA,EUROCOPTER AS350BA,Helicopter,Fatal(3),3.0,0.0,0.0,0.0,VMC,Cruise,Positioning,Destroyed
20001211X10281,1998-06-06,MCDONNELL DOUGLAS,MD-83,MCDONNELL DOUGLAS MD-83,Airplane,Non-Fatal,0.0,0.0,0.0,173.0,UNKNOWN,,Unknown,
20001211X10289,1998-06-10,BELL,205A1,BELL 205A1,Helicopter,Non-Fatal,0.0,0.0,0.0,1.0,UNKNOWN,,Unknown,Substantial
20001211X10400,1998-06-10,PIPER,PA-24-180,PIPER PA-24-180,Airplane,Non-Fatal,0.0,0.0,0.0,3.0,VMC,Takeoff,Personal,Substantial
20001211X10287,1998-06-27,BOEING,737-800,BOEING 737-800,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,
20001211X10285,1998-06-27,SCHWEIZER,269D,SCHWEIZER 269D,Helicopter,Non-Fatal,0.0,0.0,2.0,1.0,UNKNOWN,,Unknown,Substantial
20001211X10286,1998-06-30,BELL,212,BELL 212,Helicopter,Fatal(5),5.0,4.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001211X10547,1998-07-02,BOEING,737-400,BOEING 737-400,Airplane,Incident,0.0,0.0,0.0,5.0,UNKNOWN,,Unknown,
20001211X10470,1998-07-04,CESSNA,182,CESSNA 182,Airplane,Fatal(1),1.0,0.0,0.0,4.0,VMC,Cruise,Skydiving,Substantial
20001211X10546,1998-07-20,BOEING,747,BOEING 747,Airplane,Incident,0.0,0.0,0.0,3.0,UNKNOWN,,Unknown,
20001211X10549,1998-07-29,BOEING,777,BOEING 777,Airplane,Incident,0.0,0.0,0.0,1.0,UNKNOWN,,Unknown,Minor
20001211X10826,1998-08-05,BOEING,747-400,BOEING 747-400,Airplane,Unavailable,0.0,0.0,0.0,0.0,IMC,,Unknown,Substantial
20001211X10827,1998-08-13,BOEING,737-200,BOEING 737-200,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,
20001211X10786,1998-08-20,BELL,222,BELL 222,Helicopter,Fatal(3),3.0,0.0,0.0,0.0,VMC,Descent,Unknown,Destroyed
20001211X11042,1998-09-12,BOEING,767,BOEING 767,Airplane,Incident,0.0,0.0,0.0,200.0,VMC,,Unknown,Substantial
20001211X11142,1998-09-28,CESSNA,U206G,CESSNA U206G,Airplane,Fatal(7),7.0,0.0,0.0,0.0,UNKNOWN,,Personal,Destroyed
20001211X11228,1998-10-13,MCDONNELL DOUGLAS,DC-10-30,MCDONNELL DOUGLAS DC-10-30,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Minor
20001211X11404,1998-11-05,BEECH,1900C,BEECH 1900C,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Minor
20001211X11485,1998-11-11,BOEING,777-222B,BOEING 777-222B,Airplane,Non-Fatal,0.0,1.0,0.0,227.0,UNKNOWN,,Unknown,
20001211X11405,1998-11-14,BOEING,707-355C,BOEING 707-355C,Airplane,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001211X11408,1998-11-28,BOEING,747-400,BOEING 747-400,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Minor
20001211X11537,1998-12-05,BEECH,KINGAIR 300,BEECH KINGAIR 300,Airplane,Fatal(2),2.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001211X11561,1998-12-13,AEROSPATIALE,AS-350-BA,AEROSPATIALE AS-350-BA,Helicopter,Non-Fatal,0.0,0.0,0.0,2.0,VMC,Takeoff,Instructional,Substantial
20001211X11541,1998-12-17,BEECH,95,BEECH 95,Airplane,Fatal(2),2.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Destroyed
20001211X11544,1998-12-25,MCDONNELL DOUGLAS,MD-11,MCDONNELL DOUGLAS MD-11,Airplane,Incident,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Substantial
20001211X11543,1998-12-28,EMBRAER,EMB-145,EMBRAER EMB-145,Airplane,Incident,0.0,0.0,0.0,40.0,UNKNOWN,,Unknown,Substantial
20001204X00044,1999-01-15,BOEING,767-300,BOEING 767-300,Airplane,Non-Fatal,0.0,0.0,0.0,91.0,UNKNOWN,,Unknown,Substantial
20001204X00045,1999-01-28,MCDONNELL DOUGLAS,MD-82,MCDONNELL DOUGLAS MD-82,Airplane,Unavailable,0.0,0.0,0.0,0.0,UNKNOWN,,Unknown,Substantial
20001205X00145,1999-02-07,BOEING,707,BOEING 707,Airplane,Non-Fatal,0.0,0.0,0.0,4.0,UNKNOWN,,Unknown,Substantial
20001205X00146,1999-02-08,BOEING,747-200,BOEING 747-200,Airplane,Incident,0.0,0.0,0.0,3.0,UNKNOWN,,Unknown,Minor
